キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,iPhone7,-,Apple,Apple Japan,2016/9/16,-,A10 Fusion 2.33GHz 4Core,2GB,-,138,4.7,Retina HDディスプレイ,1334×750,-,-,Y,N,Y,Y,N,N,N,N,Y,2016/9/23,,,,,,,,,,,,
au,iPhone7 Plus,-,Apple,Apple Japan,2016/9/16,-,A10 Fusion 2.33GHz 4Core,3GB,-,188,5.5,Retina HDディスプレイ,1920×1080,-,-,Y,N,Y,Y,N,N,N,N,Y,2016/9/23,,,,,,,,,,,,
au,iPhone8,-,Apple,Apple Japan,2017/9/22,-,A11 Bionic,2GB,-,148,4.7,Retina HDディスプレイ,1334×750,-,-,Y,N,Y,Y,Y,N,N,N,Y,2017/9/27,,,,,,,,,,,,
au,iPhone8 Plus,-,Apple,Apple Japan,2017/9/22,-,A11 Bionic,3GB,-,202,5.5,Retina HDディスプレイ,1920×1080,-,-,Y,N,Y,Y,Y,N,N,N,Y,2017/9/27,,,,,,,,,,,,
au,IS01,-,SHARP,シャープ,2010/6/30,CDMA 1X WIN,Qualcomm Snapdragon QSD8650 1GHz,251MB,4GB,227,5,NewモバイルASV液晶,960×480,"65,536",Q,N,Y,Y,Y,N,Y,N,N,N,2011/7/11,,,,,,,,,,,,
au,IS02,dynapocket,TOSHIBA,東芝,2010/6/24,CDMA 1X WIN,Qualcomm Snapdragon QSD8650 1GHz,384MB,512MB,158,4.1,有機EL,800×480,"65,536",Q,N,N,Y,Y,N,N,N,N,N,2011/12/12,,,,,,,,,,,,
au,IS03,-,SHARP,シャープ,2010/11/26,CDMA 1X WIN,Qualcomm Snapdragon QSD8650 1GHz,512MB,512MB,138,3.5,NewモバイルASV液晶,960×640,"65,536",-,N,Y,Y,Y,N,Y,N,N,N,2011/12/12,,,,,,,,,,,,
au,IS04,REGZA Phone,FUJITSU,富士通東芝モバイルコミュニケーションズ,2011/2/10,WIN HIGH SPEED,Qualcomm Snapdragon QSD8650 1GHz,512MB,1420MB,149,4,TFT液晶,854×480,"262,144",-,N,Y,Y,Y,N,Y,N,N,Y,2011/12/12,,,,,,,,,,,,
au,IS05,-,SHARP,シャープ,2011/3/11,CDMA 1X WIN,Qualcomm Snapdragon MSM8655 1GHz,512MB,1GB,130,3.4,NewモバイルASV液晶,854×480,"262,144",-,N,Y,Y,Y,N,Y,N,N,N,2011/7/11,,,,,,,,,,,,
au,IS06,SIRIUS α,PANTECH,Pantech Wireless Japan,2010/12/23,WIN HIGH SPEED,Qualcomm Snapdragon QSD8650 1GHz,400MB,500MB,109,3.7,TFT液晶,800×480,"16,777,216",-,N,N,Y,Y,N,N,N,N,N,2011/7/11,,,,,,,,,,,,
au,IS11CA,G'zOne,CASIO,NECカシオモバイルコミュニケーションズ,2011/7/14,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.0GHz,512MB,1GB,155,3.6,IPS液晶,800×480,"65,536",-,N,Y,Y,Y,N,N,N,N,Y,2011/9/9,,,,,,,,,,,,
au,IS11LG,Optimus X,LG,LGエレクトロニクス・ジャパン,2012/1/20,WIN HIGH SPEED,NVIDIA Tegra 2 AP25 + Qualcomm MDM6600 1.2GHz,-,-,130,4,IPS液晶,800×480,"16,777,216",-,N,N,Y,Y,N,Y,N,N,N,2012/1/31,,,,,,,,,,,,
au,IS11N,MEDIAS BR,NEC,NECカシオモバイルコミュニケーションズ,2011/12/23,CDMA 1X WIN,Qualcomm Snapdragon MSM8655 1.4GHz,512MB,2GB,125,3.6,TFT液晶,800×480,"65,536",-,N,Y,Y,Y,N,Y,N,N,Y,2012/5/29,,,,,,,,,,,,
au,IS11PT,MIRACH,PANTECH,Pantech Wireless Japan,2011/9/9,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1GHz,512MB,1GB,123,3.7,TFT液晶,800×480,"16,777,216",-,N,Y,Y,Y,N,N,N,N,Y,2011/9/7,,,,,,,,,,,,
au,IS11S,Xperia acro,SonyEricsson,ソニー・エリクソン・モバイルコミュニケーションズ,2011/6/24,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.0GHz,512MB,2GB,135,4.2,TFT液晶,854×480,"16,777,216",-,N,Y,Y,Y,N,Y,N,N,N,2011/7/11,,,,,,,,,,,,
au,IS11SH,AQUOS PHONE,SHARP,シャープ,2011/6/24,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655T 1.4GHz,512MB,2GB,148,3.7,NewモバイルASV液晶,960×540,"262,144",T,N,Y,Y,Y,N,Y,N,Y,N,2011/7/11,,,,,,,,,,,,
au,IS11T,REGZA Phone,FUJITSU,富士通東芝モバイルコミュニケーションズ,2011/9/9,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655T 1.4GHz,512MB,1GB,187,4,TFT液晶,854×480,"262,144",Q,N,Y,Y,Y,N,Y,N,N,N,2011/12/12,,,,,,,,,,,,
au,IS12F,ARROWS ES,FUJITSU,富士通東芝モバイルコミュニケーションズ,2012/1/7,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.4GHz,512MB,1GB,105,4,有機EL,800×480,"16,777,216",-,N,Y,Y,Y,N,Y,N,N,Y,2012/1/13,,,,,,,,,,,,
au,IS12M,MOTOROLA RAZR,Motorola,モトローラ・モビリティ・ジャパン,2012/3/1,CDMA 1X WIN,Texas Instruments OMAP4430 + Qualcomm MDM6600 1.2GHz,1GB,16GB,127,4.3,スーパー有機EL,960×540,"16,777,216",-,N,N,Y,Y,N,N,N,N,N,2012/3/1,,,,,,,,,,,,
au,IS12S,Xperia acro HD,SonyEricsson,ソニー・エリクソン・モバイルコミュニケーションズ,2012/3/14,WIN HIGH SPEED,Qualcomm Snapdragon MSM8660 1.5GHz,1GB,16GB,149,4.3,TFT液晶,1280×720,"16,777,216",-,N,Y,Y,Y,N,Y,N,Y,Y,2012/3/16,,,,,,,,,,,,
au,IS12SH,AQUOS PHONE,SHARP,シャープ,2011/6/29,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655T 1.4GHz,512MB,2GB,145,4.2,NewモバイルASV液晶,960×540,"262,144",-,N,Y,Y,Y,N,Y,N,Y,N,2011/7/11,,,,,,,,,,,,
au,IS12T,Windows Phone,FUJITSU,富士通東芝モバイルコミュニケーションズ,2011/8/25,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1GHz,512MB,32GB,123,3.7,TFT液晶,800×480,"262,144",-,N,N,Y,Y,N,N,N,N,Y,2011/12/12,,,,,,,,,,,,
au,IS13SH,AQUOS PHONE,SHARP,シャープ,2011/11/18,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655T 1.4GHz,-,-,132,4.2,NewモバイルASV液晶,960×540,"262,144",-,N,Y,Y,Y,N,Y,N,N,Y,2011/11/22,,,,,,,,,,,,
au,IS14SH,AQUOS PHONE,SHARP,シャープ,2011/12/23,CDMA 1X WIN,Qualcomm Snapdragon MSM8655 1.4GHz,512MB,4GB,136,3.7,NewモバイルASV液晶,960×540,"262,144",T,N,Y,Y,Y,N,Y,N,N,N,2012/5/29,,,,,,,,,,,,
au,IS15SH,AQUOS PHONE SL,SHARP,シャープ,2012/7/6,WIN HIGH SPEED,Qualcomm Snapdragon MSM8655 1.4GHz,-,4GB,152,3.7,NewモバイルASV液晶,960×540,"262,114",T,N,Y,Y,Y,N,Y,N,N,Y,2012/7/10,,,,,,,,,,,,
